Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link
"Sat, Nov 11, 2023",6:00p,Milwaukee Bucks,97,Orlando Magic,112,Kia Center,/boxscores/202311110ORL.html
"Sat, Nov 11, 2023",7:00p,Toronto Raptors,94,Boston Celtics,117,TD Garden,/boxscores/202311110BOS.html
"Sat, Nov 11, 2023",7:30p,Miami Heat,117,Atlanta Hawks,109,State Farm Arena,/boxscores/202311110ATL.html
"Sat, Nov 11, 2023",8:30p,Cleveland Cavaliers,118,Golden State Warriors,110,Chase Center,/boxscores/202311110GSW.html
"Sun, Nov 12, 2023",12:00p,Charlotte Hornets,107,New York Knicks,129,Madison Square Garden (IV),/boxscores/202311120NYK.html
"Sun, Nov 12, 2023",3:00p,Washington Wizards,94,Brooklyn Nets,102,Barclays Center,/boxscores/202311120BRK.html
"Sun, Nov 12, 2023",3:30p,Memphis Grizzlies,105,Los Angeles Clippers,101,Crypto.com Arena,/boxscores/202311120LAC.html
"Sun, Nov 12, 2023",6:00p,Indiana Pacers,126,Philadelphia 76ers,137,Wells Fargo Center,/boxscores/202311120PHI.html
"Sun, Nov 12, 2023",7:00p,Detroit Pistons,108,Chicago Bulls,119,United Center,/boxscores/202311120CHI.html
"Sun, Nov 12, 2023",7:00p,Denver Nuggets,104,Houston Rockets,107,Toyota Center,/boxscores/202311120HOU.html
"Sun, Nov 12, 2023",7:00p,Dallas Mavericks,136,New Orleans Pelicans,124,Smoothie King Center,/boxscores/202311120NOP.html
"Sun, Nov 12, 2023",7:00p,Miami Heat,118,San Antonio Spurs,113,Frost Bank Center,/boxscores/202311120SAS.html
"Sun, Nov 12, 2023",8:00p,Oklahoma City Thunder,111,Phoenix Suns,99,Footprint Center,/boxscores/202311120PHO.html
"Sun, Nov 12, 2023",8:30p,Minnesota Timberwolves,116,Golden State Warriors,110,Chase Center,/boxscores/202311120GSW.html
"Sun, Nov 12, 2023",10:00p,Portland Trail Blazers,110,Los Angeles Lakers,116,Crypto.com Arena,/boxscores/202311120LAL.html
"Mon, Nov 13, 2023",7:30p,New York Knicks,98,Boston Celtics,114,TD Garden,/boxscores/202311130BOS.html
"Mon, Nov 13, 2023",7:30p,Washington Wizards,107,Toronto Raptors,111,Scotiabank Arena,/boxscores/202311130TOR.html
"Mon, Nov 13, 2023",8:00p,Chicago Bulls,109,Milwaukee Bucks,118,Fiserv Forum,/boxscores/202311130MIL.html
"Mon, Nov 13, 2023",10:00p,Cleveland Cavaliers,120,Sacramento Kings,132,Golden 1 Center,/boxscores/202311130SAC.html
"Tue, Nov 14, 2023",7:00p,Miami Heat,111,Charlotte Hornets,105,Spectrum Center,/boxscores/202311140CHO.html
"Tue, Nov 14, 2023",7:00p,Atlanta Hawks,126,Detroit Pistons,120,Little Caesars Arena,/boxscores/202311140DET.html
